Tanggal,Jam,Hari,Kategori,Menu,Harga,HPP,Qty,Omset,Profit,Hari_Angka,Is_Weekend
2025-01-28,22,Tuesday,Minuman,Git Push Espresso (Double Shot),25000,5000,1,25000,20000,1,0
2025-01-28,22,Tuesday,Makanan,Burger Stack Overflow (Double Meat),55000,25000,1,55000,30000,1,0
2025-01-29,8,Wednesday,Makanan,Sate Ayam Serverless,30000,12000,1,30000,18000,2,0
2025-01-29,8,Wednesday,Minuman,Matcha Learning,30000,11000,2,60000,38000,2,0
2025-01-29,8,Wednesday,Minuman,Java Chip Frappe,35000,11000,1,35000,24000,2,0
2025-01-29,8,Wednesday,Minuman,Cloud Macchiato 200 OK,35000,12000,1,35000,23000,2,0
2025-01-29,8,Wednesday,Minuman,Cookies & Cache Frappe,38000,14500,1,38000,23500,2,0
2025-01-29,8,Wednesday,Minuman,Git Push Espresso (Double Shot),25000,5000,2,50000,40000,2,0
2025-01-29,8,Wednesday,Minuman,Latte.js,28000,9500,1,28000,18500,2,0
2025-01-29,8,Wednesday,Minuman,Git Push Espresso (Double Shot),25000,5000,3,75000,60000,2,0
2025-01-29,8,Wednesday,Minuman,Cyberpunk Cold Brew,30000,9000,1,30000,21000,2,0
2025-01-29,9,Wednesday,Minuman,Cookies & Cache Frappe,38000,14500,2,76000,47000,2,0
2025-01-29,9,Wednesday,Makanan,Burger Stack Overflow (Double Meat),55000,25000,1,55000,30000,2,0
2025-01-29,10,Wednesday,Minuman,Matcha Learning,30000,11000,1,30000,19000,2,0
2025-01-29,10,Wednesday,Minuman,Latte.js,28000,9500,1,28000,18500,2,0
2025-01-29,10,Wednesday,Minuman,Cloud Macchiato 200 OK,35000,12000,2,70000,46000,2,0
2025-01-29,11,Wednesday,Makanan,Mie Goreng .NET Framework,28000,9500,3,84000,55500,2,0
2025-01-29,11,Wednesday,Makanan,Chicken Teriyaki Repo,32000,12500,2,64000,39000,2,0
2025-01-29,11,Wednesday,Makanan,RAM-en Special (8GB Porsi Besar),45000,18000,2,90000,54000,2,0
2025-01-29,11,Wednesday,Makanan,Fish & Chips.py,40000,16000,1,40000,24000,2,0
2025-01-29,11,Wednesday,Makanan,Nasi Goreng Main()-Rikhi Style,35000,13000,1,35000,22000,2,0
2025-01-29,11,Wednesday,Makanan,Fish & Chips.py,40000,16000,1,40000,24000,2,0
2025-01-29,11,Wednesday,Makanan,RAM-en Special (8GB Porsi Besar),45000,18000,2,90000,54000,2,0
2025-01-29,12,Wednesday,Makanan,Spaghetti Code (Bug Free),38000,15000,2,76000,46000,2,0
2025-01-29,12,Wednesday,Makanan,Burger Stack Overflow (Double Meat),55000,25000,1,55000,30000,2,0
2025-01-29,12,Wednesday,Makanan,RAM-en Special (8GB Porsi Besar),45000,18000,1,45000,27000,2,0
2025-01-29,13,Wednesday,Snack,Croissant.css,25000,10000,1,25000,15000,2,0
2025-01-29,13,Wednesday,Makanan,Sate Ayam Serverless,30000,12000,1,30000,18000,2,0
2025-01-29,13,Wednesday,Snack,French Fries.zip,22000,7500,2,44000,29000,2,0
2025-01-29,14,Wednesday,Snack,Firewall Nachos (Pedas),28000,11000,1,28000,17000,2,0
2025-01-29,14,Wednesday,Makanan,Mie Goreng .NET Framework,28000,9500,1,28000,18500,2,0
2025-01-29,14,Wednesday,Snack,Token Onion Rings,20000,6000,1,20000,14000,2,0
2025-01-29,14,Wednesday,Makanan,RAM-en Special (8GB Porsi Besar),45000,18000,1,45000,27000,2,0
2025-01-29,14,Wednesday,Snack,Cireng Open Source,18000,5000,1,18000,13000,2,0
2025-01-29,14,Wednesday,Makanan,Nasi Goreng Main()-Rikhi Style,35000,13000,2,70000,44000,2,0
2025-01-29,14,Wednesday,Snack,Croissant.css,25000,10000,1,25000,15000,2,0
2025-01-29,15,Wednesday,Snack,Token Onion Rings,20000,6000,1,20000,14000,2,0
2025-01-29,15,Wednesday,Makanan,Spaghetti Code (Bug Free),38000,15000,1,38000,23000,2,0
2025-01-29,16,Wednesday,Minuman,Matcha Learning,30000,11000,1,30000,19000,2,0
2025-01-29,16,Wednesday,Snack,Token Onion Rings,20000,6000,1,20000,14000,2,0
2025-01-29,17,Wednesday,Snack,Full Stack Platter API,35000,14000,1,35000,21000,2,0
2025-01-29,17,Wednesday,Minuman,Kopi Gula Aren Python,20000,7000,1,20000,13000,2,0
2025-01-29,18,Wednesday,Makanan,Fish & Chips.py,40000,16000,2,80000,48000,2,0
2025-01-29,18,Wednesday,Minuman,Cyberpunk Cold Brew,30000,9000,2,60000,42000,2,0
2025-01-29,19,Wednesday,Minuman,Single Thread Espresso,15000,3500,1,15000,11500,2,0
2025-01-29,19,Wednesday,Minuman,Single Thread Espresso,15000,3500,1,15000,11500,2,0
2025-01-29,19,Wednesday,Makanan,Sate Ayam Serverless,30000,12000,2,60000,36000,2,0
2025-01-29,19,Wednesday,Snack,French Fries.zip,22000,7500,2,44000,29000,2,0
2025-01-29,19,Wednesday,Snack,Cireng Open Source,18000,5000,1,18000,13000,2,0
2025-01-29,19,Wednesday,Makanan,Nasi Goreng Main()-Rikhi Style,35000,13000,2,70000,44000,2,0
2025-01-29,19,Wednesday,Snack,Croissant.css,25000,10000,1,25000,15000,2,0
2025-01-29,19,Wednesday,Snack,Cireng Open Source,18000,5000,1,18000,13000,2,0
2025-01-29,19,Wednesday,Snack,French Fries.zip,22000,7500,1,22000,14500,2,0
2025-01-29,19,Wednesday,Makanan,Mie Goreng .NET Framework,28000,9500,1,28000,18500,2,0
2025-01-29,20,Wednesday,Minuman,Ruby on Rose Tea,26000,7500,2,52000,37000,2,0
2025-01-29,20,Wednesday,Snack,Full Stack Platter API,35000,14000,1,35000,21000,2,0
2025-01-29,20,Wednesday,Minuman,Lychee-nux Tea,25000,8000,1,25000,17000,2,0
2025-01-29,20,Wednesday,Snack,Cireng Open Source,18000,5000,1,18000,13000,2,0
2025-01-29,20,Wednesday,Minuman,Cyberpunk Cold Brew,30000,9000,1,30000,21000,2,0
2025-01-29,20,Wednesday,Makanan,Chicken Teriyaki Repo,32000,12500,1,32000,19500,2,0
2025-01-29,20,Wednesday,Makanan,Sate Ayam Serverless,30000,12000,2,60000,36000,2,0
2025-01-29,20,Wednesday,Snack,Croissant.css,25000,10000,1,25000,15000,2,0
2025-01-29,20,Wednesday,Makanan,Spaghetti Code (Bug Free),38000,15000,1,38000,23000,2,0
2025-01-29,21,Wednesday,Snack,Potato Wedges Widget,24000,8000,2,48000,32000,2,0
2025-01-29,21,Wednesday,Minuman,Ruby on Rose Tea,26000,7500,3,78000,55500,2,0
2025-01-29,21,Wednesday,Minuman,Kopi Gula Aren Python,20000,7000,2,40000,26000,2,0
2025-01-29,21,Wednesday,Minuman,Blue Screen Lemonade (Seger),24000,6000,2,48000,36000,2,0
2025-01-29,21,Wednesday,Minuman,Lychee-nux Tea,25000,8000,1,25000,17000,2,0
2025-01-29,21,Wednesday,Makanan,Mie Goreng .NET Framework,28000,9500,1,28000,18500,2,0
2025-01-29,21,Wednesday,Minuman,Kopi Gula Aren Python,20000,7000,2,40000,26000,2,0
2025-01-29,21,Wednesday,Minuman,Lychee-nux Tea,25000,8000,1,25000,17000,2,0
2025-01-29,21,Wednesday,Snack,Full Stack Platter API,35000,14000,1,35000,21000,2,0
2025-01-29,21,Wednesday,Minuman,Cyberpunk Cold Brew,30000,9000,1,30000,21000,2,0
2025-01-29,21,Wednesday,Snack,Croissant.css,25000,10000,1,25000,15000,2,0
2025-01-29,21,Wednesday,Minuman,Lychee-nux Tea,25000,8000,3,75000,51000,2,0
2025-01-29,21,Wednesday,Minuman,Lychee-nux Tea,25000,8000,1,25000,17000,2,0
2025-01-29,22,Wednesday,Makanan,Nasi Goreng Main()-Rikhi Style,35000,13000,1,35000,22000,2,0
2025-01-29,22,Wednesday,Makanan,Fish & Chips.py,40000,16000,1,40000,24000,2,0
2025-01-29,22,Wednesday,Snack,Croissant.css,25000,10000,1,25000,15000,2,0
2025-01-29,22,Wednesday,Snack,Full Stack Platter API,35000,14000,2,70000,42000,2,0
2025-01-30,8,Thursday,Snack,Croissant.css,25000,10000,1,25000,15000,3,0
2025-01-30,8,Thursday,Minuman,Java Chip Frappe,35000,11000,1,35000,24000,3,0
2025-01-30,8,Thursday,Minuman,Cyberpunk Cold Brew,30000,9000,1,30000,21000,3,0
2025-01-30,8,Thursday,Minuman,Cyberpunk Cold Brew,30000,9000,1,30000,21000,3,0
2025-01-30,8,Thursday,Minuman,Matcha Learning,30000,11000,1,30000,19000,3,0
2025-01-30,8,Thursday,Minuman,Java Chip Frappe,35000,11000,1,35000,24000,3,0
2025-01-30,8,Thursday,Minuman,Latte.js,28000,9500,1,28000,18500,3,0
2025-01-30,10,Thursday,Makanan,Fish & Chips.py,40000,16000,1,40000,24000,3,0
2025-01-30,10,Thursday,Minuman,Java Chip Frappe,35000,11000,1,35000,24000,3,0
2025-01-30,10,Thursday,Makanan,RAM-en Special (8GB Porsi Besar),45000,18000,1,45000,27000,3,0
2025-01-30,10,Thursday,Minuman,Null Pointer Americano,22000,4500,2,44000,35000,3,0
2025-01-30,11,Thursday,Makanan,Chicken Teriyaki Repo,32000,12500,3,96000,58500,3,0
2025-01-30,11,Thursday,Makanan,Nasi Goreng Main()-Rikhi Style,35000,13000,1,35000,22000,3,0
2025-01-30,11,Thursday,Makanan,Burger Stack Overflow (Double Meat),55000,25000,1,55000,30000,3,0
2025-01-30,11,Thursday,Minuman,Lychee-nux Tea,25000,8000,1,25000,17000,3,0
2025-01-30,11,Thursday,Makanan,Mie Goreng .NET Framework,28000,9500,1,28000,18500,3,0
2025-01-30,12,Thursday,Makanan,Sate Ayam Serverless,30000,12000,1,30000,18000,3,0
2025-01-30,12,Thursday,Minuman,Cookies & Cache Frappe,38000,14500,1,38000,23500,3,0
2025-01-30,12,Thursday,Makanan,Fish & Chips.py,40000,16000,1,40000,24000,3,0
2025-01-30,12,Thursday,Makanan,Nasi Goreng Main()-Rikhi Style,35000,13000,1,35000,22000,3,0
2025-01-30,12,Thursday,Makanan,RAM-en Special (8GB Porsi Besar),45000,18000,1,45000,27000,3,0
2025-01-30,12,Thursday,Minuman,Git Push Espresso (Double Shot),25000,5000,2,50000,40000,3,0
2025-01-30,12,Thursday,Minuman,Cloud Macchiato 200 OK,35000,12000,1,35000,23000,3,0
2025-01-30,13,Thursday,Makanan,Fish & Chips.py,40000,16000,1,40000,24000,3,0
2025-01-30,13,Thursday,Makanan,Chicken Teriyaki Repo,32000,12500,3,96000,58500,3,0
2025-01-30,14,Thursday,Snack,Full Stack Platter API,35000,14000,3,105000,63000,3,0
2025-01-30,14,Thursday,Makanan,RAM-en Special (8GB Porsi Besar),45000,18000,1,45000,27000,3,0
2025-01-30,14,Thursday,Makanan,Spaghetti Code (Bug Free),38000,15000,1,38000,23000,3,0
2025-01-30,14,Thursday,Minuman,Cookies & Cache Frappe,38000,14500,1,38000,23500,3,0
2025-01-30,16,Thursday,Snack,Cireng Open Source,18000,5000,1,18000,13000,3,0
2025-01-30,16,Thursday,Minuman,Git Push Espresso (Double Shot),25000,5000,1,25000,20000,3,0
2025-01-30,16,Thursday,Snack,Full Stack Platter API,35000,14000,2,70000,42000,3,0
2025-01-30,16,Thursday,Snack,Cireng Open Source,18000,5000,1,18000,13000,3,0
2025-01-30,17,Thursday,Snack,Firewall Nachos (Pedas),28000,11000,1,28000,17000,3,0
2025-01-30,17,Thursday,Snack,French Fries.zip,22000,7500,1,22000,14500,3,0
2025-01-30,17,Thursday,Makanan,Nasi Goreng Main()-Rikhi Style,35000,13000,1,35000,22000,3,0
2025-01-30,17,Thursday,Minuman,Single Thread Espresso,15000,3500,2,30000,23000,3,0
2025-01-30,17,Thursday,Minuman,Git Push Espresso (Double Shot),25000,5000,1,25000,20000,3,0
2025-01-30,18,Thursday,Makanan,Sate Ayam Serverless,30000,12000,1,30000,18000,3,0
2025-01-30,18,Thursday,Snack,Token Onion Rings,20000,6000,2,40000,28000,3,0
2025-01-30,18,Thursday,Minuman,Java Chip Frappe,35000,11000,1,35000,24000,3,0
2025-01-30,18,Thursday,Minuman,Blue Screen Lemonade (Seger),24000,6000,1,24000,18000,3,0
2025-01-30,19,Thursday,Snack,Full Stack Platter API,35000,14000,1,35000,21000,3,0
2025-01-30,19,Thursday,Snack,Cireng Open Source,18000,5000,1,18000,13000,3,0
2025-01-30,19,Thursday,Minuman,Latte.js,28000,9500,2,56000,37000,3,0
2025-01-30,19,Thursday,Minuman,Cyberpunk Cold Brew,30000,9000,1,30000,21000,3,0
2025-01-30,19,Thursday,Snack,French Fries.zip,22000,7500,2,44000,29000,3,0
2025-01-30,19,Thursday,Snack,Cireng Open Source,18000,5000,1,18000,13000,3,0
2025-01-30,19,Thursday,Makanan,Fish & Chips.py,40000,16000,1,40000,24000,3,0
2025-01-30,19,Thursday,Snack,Firewall Nachos (Pedas),28000,11000,1,28000,17000,3,0
2025-01-30,19,Thursday,Snack,Potato Wedges Widget,24000,8000,2,48000,32000,3,0
2025-01-30,19,Thursday,Makanan,RAM-en Special (8GB Porsi Besar),45000,18000,3,135000,81000,3,0
2025-01-30,19,Thursday,Minuman,Latte.js,28000,9500,2,56000,37000,3,0
2025-01-30,19,Thursday,Snack,Firewall Nachos (Pedas),28000,11000,1,28000,17000,3,0
2025-01-30,19,Thursday,Minuman,Cookies & Cache Frappe,38000,14500,3,114000,70500,3,0
2025-01-30,19,Thursday,Minuman,Matcha Learning,30000,11000,1,30000,19000,3,0
2025-01-30,20,Thursday,Snack,Croissant.css,25000,10000,2,50000,30000,3,0
2025-01-30,20,Thursday,Minuman,Java Chip Frappe,35000,11000,1,35000,24000,3,0
2025-01-30,20,Thursday,Snack,Token Onion Rings,20000,6000,1,20000,14000,3,0
2025-01-30,20,Thursday,Minuman,Latte.js,28000,9500,1,28000,18500,3,0
2025-01-30,20,Thursday,Snack,Full Stack Platter API,35000,14000,1,35000,21000,3,0
2025-01-30,20,Thursday,Makanan,Mie Goreng .NET Framework,28000,9500,2,56000,37000,3,0
2025-01-30,20,Thursday,Minuman,Blue Screen Lemonade (Seger),24000,6000,1,24000,18000,3,0
2025-01-30,20,Thursday,Snack,French Fries.zip,22000,7500,1,22000,14500,3,0
2025-01-30,20,Thursday,Minuman,Ruby on Rose Tea,26000,7500,1,26000,18500,3,0
2025-01-30,21,Thursday,Snack,Full Stack Platter API,35000,14000,1,35000,21000,3,0
2025-01-30,21,Thursday,Minuman,Matcha Learning,30000,11000,1,30000,19000,3,0
